post_id,text,tokens,rationales,label,hate word,Hate
7.26758e+17,@USER @USER  පට්ට පට පට...,@USER @USER පට්ට පට පට . . .,[],NOT,[],0
9.15619e+17,"පරණ කෑල්ල අද වෙනකම් හිටියනම් අදට අවුරුදු 4යි. යාලු වෙලා. වෙලාවට ඊට පහු වෙනිදම බූට් එක කෑවෙ, නැත්තම් අවුරුදු 4ක් එක කෙල්ලෙක් ? ටෞකනවා","පරණ කෑල්ල අද වෙනකම් හිටියනම් අදට අවුරුදු 4යි . යාලු වෙලා . වෙලාවට ඊට පහු වෙනිදම බූට් එක කෑවෙ , නැත්තම් අවුරුදු 4ක් එක කෙල්ලෙක් ? ටෞකනවා","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",OFF,['ටෞකනවා'],1
9.25001e+17,යාළුවා කියලා හිතන් සර් ගේ ඔලුවට රෙද්ද දාලා නෙලන එක වෙනමම ආතල් එකක් බන්. #childhoodmemories  URL This Tweet is unavailable.,යාළුවා කියලා හිතන් සර් ගේ ඔලුවට රෙද්ද දාලා නෙලන එක වෙනමම ආතල් එකක් බන් . # childhoodmemories URL This Tweet is unavailable .,[],NOT,[],0
1.39722e+18,හොඳ මිතුරියක් කතා කලා. විස්තර කතාකරමින් ඉදලා මේ දවස්වල මොකො කරන්නේ ඇහුවා. මම උයපු හදපු කෑම බීම ජාති කිව්වා. බැඳලත් නැති එකෙ ඔච්චර උයන්න යන්න එපා තෝ ගෑනියෙක් වෙයි කියලා එයා කිව්ව.  ඒක ඇහු වෙලේ ඉදන් ඇග බිජ්ජට තියෙන සම්බන්ධය අඩුවෙනව වගෙ. මේ කොරෝනස්සෙ ඒකත් හැලිල යයිද මන්දා,හොඳ මිතුරියක් කතා කලා . විස්තර කතාකරමින් ඉදලා මේ දවස්වල මොකො කරන්නේ ඇහුවා . මම උයපු හදපු කෑම බීම ජාති කිව්වා . බැඳලත් නැති එකෙ ඔච්චර උයන්න යන්න එපා තෝ ගෑනියෙක් වෙයි කියලා එයා කිව්ව. ඒක ඇහු වෙලේ ඉදන් ඇග බිජ්ජට තියෙන සම්බන්ධය අඩුවෙනව වගෙ . මේ කොරෝනස්සෙ ඒකත් හැලිල යයිද මන්දා,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['තෝ', 'ගෑනියෙක්', 'බිජ්ජට']",1
9.50376e+17,"ඔය බනින්නෙ.. හරකා, මී හරකා කිය කිය...","ඔය බනින්නෙ . . හරකා , මී හරකා කිය කිය . . .","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",OFF,"['හරකා', 'මී', 'හරකා']",1
6.59669e+17,කැතරින් මංගල හමුවෙයි:  ඇමරිකානු රාජ්‍ය දෙපාර්තමේන්තුවේ ලෝක කාන්තා කටයුතු පිළිබඳ තානාපතිවරිය වූ කැත... URL #lka #news,කැතරින් මංගල හමුවෙයි : ඇමරිකානු රාජ්‍ය දෙපාර්තමේන්තුවේ ලෝක කාන්තා කටයුතු පිළිබඳ තානාපතිවරිය වූ කැත . . . URL # lka # news,[],NOT,[],0
7.4676e+17,රැ ඩැනියල් දවල් මිගෙල් is on Swarnawahini හම්මේ.. ගොන් ජෝක් තමා.. ඒත් කොච්චර බැලුවත් එපා වෙන්නේ නෑ..,රැ ඩැනියල් දවල් මිගෙල් is on Swarnawahini හම්මේ . . ගොන් ජෝක් තමා . . ඒත් කොච්චර බැලුවත් එපා වෙන්නේ නෑ . .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['ගොන්', 'ජෝක්']",1
7.1502e+17,@USER @USER  අඩො.. බර්ත්ඩේ එක දවසේ පු* පලාගන්න ආසද :v,@USER @USER අඩො . . බර්ත්ඩේ එක දවසේ පු * පලාගන්න ආසද : v,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",OFF,"['පු', 'පලාගන්න']",1
1.31449e+18,නිරෝදායනයට යන්න එනවද කියලා මීනාක්ශිගෙන් ඇහුවා එන්න බෑලු   + එහෙනම් උඹ එන්නෑ - නැහැ +පරට්ටි !  #ගුහාසටනපොකුර,නිරෝදායනයට යන්න එනවද කියලා මීනාක්ශිගෙන් ඇහුවා එන්න බෑලු + එහෙනම් උඹ එන්නෑ - නැහැ + පරට්ටි ! # ගුහාසටනපොකුර,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",OFF,['පරට්ටි'],1
1.20734e+18,ඇත්ත කියනව ජෝං බාස්.... තමුසෙ නේද පිස්තෝලෙ කටට එබුවෙ.....,ඇත්ත කියනව ජෝං බාස් . . . . තමුසෙ නේද පිස්තෝලෙ කටට එබුවෙ . . . . .,[],NOT,[],0
9.98584e+17,@USER  @USER    අරූට ඉතින් එලොව පොල් පෙනුනලු...ලැජ්ජාවට හිනා වෙලා පොර සේපෙට පෙත්තෙ කොලේ ගලෝල ආයෙ කටින් තියාගත්තලු...සෙනික දියවෙලා පෙත්ත ගියාලු...අම්මටහුඩු පොරට හෙන හැපි...පස්සෙ ඇහුවලු මොකක්ද බ්‍රෝ ඒ පෙත්ත...හරිම වඳ රහක් ආවෙ කියල. අනික කිව්වලු ඕක බිව්වම වඳ තමා වෙන්නෙ මාතියා කියල,@USER @USER අරූට ඉතින් එලොව පොල් පෙනුනලු . . . ලැජ්ජාවට හිනා වෙලා පොර සේපෙට පෙත්තෙ කොලේ ගලෝල ආයෙ කටින් තියාගත්තලු . . . සෙනික දියවෙලා පෙත්ත ගියාලු . . . අම්මටහුඩු පොරට හෙන හැපි . . . පස්සෙ ඇහුවලු මොකක්ද බ්‍රෝ ඒ පෙත්ත . . . හරිම වඳ රහක් ආවෙ කියල . අනික කිව්වලු ඕක බිව්වම වඳ තමා වෙන්නෙ මාතියා කියල,[],NOT,[],0
1.17322e+18,@USER පොහොට්ටුව පිපෙන්ඩයි යන්නෙ.  @USER  @USER  @USER  @USER  @USER  @USER  @USER,@USER පොහොට්ටුව පිපෙන්ඩයි යන්නෙ . @USER @USER @USER @USER @USER @USER @USER,[],NOT,[],0
1.46532e+18,"@USER  @USER මේ වගේ දෙවල් ශෙයාර් කරල මිනිස්සු හරි හමන් දැනීමක් නැතුව මේක කරන්න ගිහින් වෙන අනතුරු වලට වගකියන්නේ උඹේ බාප්පද?? ගොන් වැඩ කරන්න එපා යකො. ඔච්චරම පු**අමාරුවනම් උඹ ට්‍රයි කරල බලපන්. අපේ ප්ලීස් මචන් ම්, එක පාරක් ට්‍රයි කරපන්.","@USER @USER මේ වගේ දෙවල් ශෙයාර් කරල මිනිස්සු හරි හමන් දැනීමක් නැතුව මේක කරන්න ගිහින් වෙන අනතුරු වලට වගකියන්නේ උඹේ බාප්පද ? ? ගොන් වැඩ කරන්න එපා යකො . ඔච්චරම පු * * අමාරුවනම් උඹ ට්‍රයි කරල බලපන් . අපේ ප්ලීස් මචන් ම් , එක පාරක් ට්‍රයි කරපන් .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['උඹේ', 'ගොන්']",1
1.23327e+18,@USER  @USER අනෙ බොල මං කියන්නැ තොට,@USER @USER අනෙ බොල මං කියන්නැ තොට,[],NOT,[],0
7.24396e+17,"""එක පිරිමියෙකු ඉල්ලලා පාරේ 'කුණුහරුප කියන් ගහා ගන්නා' අපේ මෝඩ අක්කාලා ගේ වැඩ කැලි ටික හොරෙන් කැමරාවක සටහන් කරගනී"" URL",""" එක පිරිමියෙකු ඉල්ලලා පාරේ ' කුණුහරුප කියන් ගහා ගන්නා ' අපේ මෝඩ අක්කාලා ගේ වැඩ කැලි ටික හොරෙන් කැමරාවක සටහන් කරගනී "" URL",[],NOT,[],0
1.3819e+18,නීතී නෑ රණ්ඩු නෑ කෝල් නෑ මැසේජ් නෑ  තනිකඩ ජීවීතේ පට්ට බං,නීතී නෑ රණ්ඩු නෑ කෝල් නෑ මැසේජ් නෑ තනිකඩ ජීවීතේ පට්ට බං,[],NOT,[],0
1.03877e+18,@USER  @USER හිනා උනේ පකෝ වරෙන් ඒක හාන්න,@USER @USER හිනා උනේ පකෝ වරෙන් ඒක හාන්න,"[0, 0, 0, 0, 1, 0, 0, 0]",OFF,['පකෝ'],1
1.06199e+18,@USER තොට හොඳ වැඩේ... සාදු සාදු...,@USER තොට හොඳ වැඩේ . . . සාදු සාදු . . .,[],NOT,[],0
1.2155e+18,@USER  @USER පෝය ලංඋනාම ඔහොම වෙනවා වැඩි ..මොකද පිස්සා හිතන්නෙ ඌට නෙවෙයි අනිත් එකාට පිස්සු කියලා ..,@USER @USER පෝය ලංඋනාම ඔහොම වෙනවා වැඩි . . මොකද පිස්සා හිතන්නෙ ඌට නෙවෙයි අනිත් එකාට පිස්සු කියලා . .,[],NOT,[],0
1.19972e+18,@USER System එක වෙනස් වෙමින් පවතී,@USER System එක වෙනස් වෙමින් පවතී,[],NOT,[],0
8.7171e+17,@USER  @USER    අනේ ඉතින් උඹලාගේ කැත හිත...බලහං ඉතින් ඇඳක් දැක්කොත් උඹල හිතන්නෙ වෙන මොකක් හරි...අසහනේ,@USER @USER අනේ ඉතින් උඹලාගේ කැත හිත . . . බලහං ඉතින් ඇඳක් දැක්කොත් උඹල හිතන්නෙ වෙන මොකක් හරි . . . අසහනේ,[],NOT,[],0
1.18231e+18,"මොනවා වුනත් පොහොට්ටුවොන්ට වඩා සූක්ෂම සෙට් එකක් සජිත් වටේ ඉන්නවා  පොහොට්ටුවෝ ශ්‍රී මඛය පට්ට ගහද්දී, පුතාණෝ ප්‍රසිද්ධියෙ සමාව අරං උඩ එනවා ඉරාජ් මාස ගානක් කියවලා ගෑණු ඇඳුනුත් ඇඳලා දාපු වීඩියෝ එක බලද්දී සජිත්ගෙ ඇඩ් ප්ලේ වෙනවා  එහෙමයි කියලා ඔය  එකකටවත් මගෙ ඡන්දෙ නෑ #lka #PressPollSL","මොනවා වුනත් පොහොට්ටුවොන්ට වඩා සූක්ෂම සෙට් එකක් සජිත් වටේ ඉන්නවා පොහොට්ටුවෝ ශ්‍රී මඛය පට්ට ගහද්දී , පුතාණෝ ප්‍රසිද්ධියෙ සමාව අරං උඩ එනවා ඉරාජ් මාස ගානක් කියවලා ගෑණු ඇඳුනුත් ඇඳලා දාපු වීඩියෝ එක බලද්දී සජිත්ගෙ ඇඩ් ප්ලේ වෙනවා එහෙමයි කියලා ඔය එකකටවත් මගෙ ඡන්දෙ නෑ # lka # PressPollSL",[],NOT,[],0
8.9426e+17,ලංකාව තුළ මෝඩ දේශපාලනඥයින් නොමැති අතර ඇත්තේ නූගත් දේශපාලනඥයින් පමණි,ලංකාව තුළ මෝඩ දේශපාලනඥයින් නොමැති අතර ඇත්තේ නූගත් දේශපාලනඥයින් පමණි,[],NOT,[],0
1.3657e+18,@USER හරි සම්බන්ධ කට්ටිය කවුද කියන්නකෝ,@USER හරි සම්බන්ධ කට්ටිය කවුද කියන්නකෝ,[],NOT,[],0
1.44179e+18,ඇයි යකෝ අනික් සත්තු නැට්ට ගලවලා තියලාද මැරෙන්නේ? Yoooo @USER  · 25 Sep 2021 ප්‍රතික්ශෙපවීම් නම් මොනවද බන්  නැට්ට පිටින් අලිත් මැරෙන්නෙ,ඇයි යකෝ අනික් සත්තු නැට්ට ගලවලා තියලාද මැරෙන්නේ ? Yoooo @USER 25 Sep 2021 ප්‍රතික්ශෙපවීම් නම් මොනවද බන් නැට්ට පිටින් අලිත් මැරෙන්නෙ,[],NOT,[],0
7.32608e+17,චන්ද්‍රිකා  යුද්ධයෙන් 75% ඉවර  කළ අයුරු .. 3:) 3:) 3:) (බැල්ලි ) URL,චන්ද්‍රිකා යුද්ධයෙන් 75 % ඉවර කළ අයුරු . . 3 : ) 3 : ) 3 : ) ( බැල්ලි ) URL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",OFF,['බැල්ලි'],1
1.08738e+18,@USER  @USER කොහොමවත් නෑ.. මම දන්නවනෙ ඒකිගෙ තොට තියෙන ආදරේ..,@USER @USER කොහොමවත් නෑ . . මම දන්නවනෙ ඒකිගෙ තොට තියෙන ආදරේ . .,[],NOT,[],0
8.7805e+17,@USER  @USER මාර බැල්ලි නේහ්. ඌ ලයිකා වගේ නේ,@USER @USER මාර බැල්ලි නේහ් . ඌ ලයිකා වගේ නේ,[],NOT,[],0
1.18183e+18,යකෝ Fitness & Fashion වලටනෙ අඩුම votes. මුන් fit එකේ ඉන්න ලස්සනට පෙනුමට අඳින්න කරන්න ඉගෙනගන්න අසා නැද්ද. Rathumakara FM @USER  · 5 Oct 2019 අලුත්ම අලුත් ප්‍රෝගෑම් එකකට ඔයාලා කැමති ටොපික් එකකට vote කරමුද? ඒ ගැන ලස්සන ප්‍රොගැම් එකක් කරන්න පුලුවන් එතකොට #රතුමකරාFM එකේ අපේ අලුත්ම ප්‍රසන්ටර්ස්ලට.  Let's vote for a topic for a new program conducted by our new presenters at #RathumakaraFM. Show this poll,යකෝ Fitness & Fashion වලටනෙ අඩුම votes . මුන් fit එකේ ඉන්න ලස්සනට පෙනුමට අඳින්න කරන්න ඉගෙනගන්න අසා නැද්ද . Rathumakara FM @USER 5 Oct 2019 අලුත්ම අලුත් ප්‍රෝගෑම් එකකට ඔයාලා කැමති ටොපික් එකකට vote කරමුද ? ඒ ගැන ලස්සන ප්‍රොගැම් එකක් කරන්න පුලුවන් එතකොට # රතුමකරාFM එකේ අපේ අලුත්ම ප්‍රසන්ටර්ස්ලට . Let ' s vote for a topic for a new program conducted by our new presenters at # RathumakaraFM . Show this poll,[],NOT,[],0
9.44607e+17,@USER ජාකෝලිස් හදපු නැකතක් කොහෙද ලේසියෙන් වරදින්නෙ   දැන් චුට්ටකට කලින් ඒ කෑල්ල බැලුවේ,@USER ජාකෝලිස් හදපු නැකතක් කොහෙද ලේසියෙන් වරදින්නෙ දැන් චුට්ටකට කලින් ඒ කෑල්ල බැලුවේ,[],NOT,[],0
1.38921e+18,ඔයාගෙ යෝනිය ගැන මං දන්නෑ.. හැබැයි මේ කරන කැත වැඩේට අහු උනොත් ගුද මාර්ගෙනම් පලනවා අම්මපා..fuk _Heshu_ @USER  · 3 May 2021 හායි guys කොහොමද ඔයාලට.. බලමු මගේ යෝනියට කරන්න පුලුවන් දේවල් මොනාද කියලා,ඔයාගෙ යෝනිය ගැන මං දන්නෑ . . හැබැයි මේ කරන කැත වැඩේට අහු උනොත් ගුද මාර්ගෙනම් පලනවා අම්මපා. . fuk _Heshu_ @USER 3 May 2021 හායි guys කොහොමද ඔයාලට . . බලමු මගේ යෝනියට කරන්න පුලුවන් දේවල් මොනාද කියලා,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['ගුද', 'මාර්ගෙනම්', 'පලනවා']",1
1.18885e+18,@USER අනේ මේ පයිය.කට වහන් හිටු,@USER අනේ මේ පයිය . කට වහන් හිටු,"[0, 0, 0, 1, 0, 0, 0, 0]",OFF,['පයිය'],1
1.13738e+18,@USER  @USER ෆෝන් එක ඔබ ඔබා ඉන්නෙ නැති එකක් දැක්කමද මංදා. ඒකෙත් පස්ස පේන්නෙ.,@USER @USER ෆෝන් එක ඔබ ඔබා ඉන්නෙ නැති එකක් දැක්කමද මංදා . ඒකෙත් පස්ස පේන්නෙ .,[],NOT,[],0
1.13337e+18,"නෙදකින්, මේ වගේ පොන්න නායකයෝ මේ රට පාලනය කරන කාලෙම අපිටත් ඉන්න උනානේ.   කොහොමද අන්තවාදී බල්ලොන්ට, තියන බය, දෙන සැලකිල්ල ? #lka Dinuk @USER  · 28 May 2019 නැගෙනහිර පළාත් ආණ්ඩුකාර එම්.එල්.ඒ.එම් හිස්බුල්ලා ත්‍රිකුණාමලය,මඩකලපුව හා අම්පාර යන දිස්ත්‍රික්කයන්හි දිස්ත්‍රික් සම්බන්ධිකරණ කමිටුවල සම සභාපතිවරයා ලෙස ජනාධිපති මෛත්‍රිපාල සිරිසේන මහතා විසින් පත්කරණු ලැබ තිබෙනවා. #SriLanka #lka","නෙදකින් , මේ වගේ පොන්න නායකයෝ මේ රට පාලනය කරන කාලෙම අපිටත් ඉන්න උනානේ . කොහොමද අන්තවාදී බල්ලොන්ට , තියන බය , දෙන සැලකිල්ල ? # lka Dinuk @USER 28 May 2019 නැගෙනහිර පළාත් ආණ්ඩුකාර එම්.එල්.ඒ.එම් හිස්බුල්ලා ත්‍රිකුණාමලය , මඩකලපුව හා අම්පාර යන දිස්ත්‍රික්කයන්හි දිස්ත්‍රික් සම්බන්ධිකරණ කමිටුවල සම සභාපතිවරයා ලෙස ජනාධිපති මෛත්‍රිපාල සිරිසේන මහතා විසින් පත්කරණු ලැබ තිබෙනවා . # SriLanka # lka","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['පොන්න', 'නායකයෝ', 'අන්තවාදී', 'බල්ලොන්ට']",1
1.19721e+18,සුනිල්ටයි අම්මටයි පට්ට මහන්සි ඇති නේ ... පඩිපෙල්ම කීයක් නැගගද?,සුනිල්ටයි අම්මටයි පට්ට මහන්සි ඇති නේ . . . පඩිපෙල්ම කීයක් නැගගද ?,[],NOT,[],0
1.16451e+18,පුක කියන්නෙත් හොද මාර්කටින් ස්ට්‍රැජික් එකක් තමයි,පුක කියන්නෙත් හොද මාර්කටින් ස්ට්‍රැජික් එකක් තමයි,"[1, 0, 0, 0, 0, 0, 0]",OFF,['පුක'],1
1.14097e+18,@USER ඔයින් මොගන්  යකෝ ඌ දැක්කා නම් අපරාදේ 148 ගැහුවේ කියලා හිතෙයි...,@USER ඔයින් මොගන් යකෝ ඌ දැක්කා නම් අපරාදේ 148 ගැහුවේ කියලා හිතෙයි . . .,[],NOT,[],0
1.30412e+18,"දුලාජ්ගෙ කඩ්ඩ තමා කඩ්ඩ. එ්ක වලියකට, අාතල් එකකට, සිරා කේස් එකකට, ඔ්න මඟුලකට ගැලපෙනවා අයිසෙ  @USER  ගේ කඩ්ඩ #appreciationtweet","දුලාජ්ගෙ කඩ්ඩ තමා කඩ්ඩ . එ්ක වලියකට , අාතල් එකකට , සිරා කේස් එකකට , ඔ්න මඟුලකට ගැලපෙනවා අයිසෙ @USER ගේ කඩ්ඩ # appreciationtweet",[],NOT,[],0
1.08976e+18,@USER ඩාලින් මම ඔයාටත් ෆේස් ස්ක්‍රබ් එකක් අරම් දෙන්නම් දත් මදින්න.,@USER ඩාලින් මම ඔයාටත් ෆේස් ස්ක්‍රබ් එකක් අරම් දෙන්නම් දත් මදින්න .,[],NOT,[],0
1.34393e+18,@USER ඔයාලටත් ඕක තමා ලොකුවට පේන්නෙ. ඔය නිව්ස් එක telecast කරනවනම් රෙදි නැතුව කියන්න.,@USER ඔයාලටත් ඕක තමා ලොකුවට පේන්නෙ . ඔය නිව්ස් එක telecast කරනවනම් රෙදි නැතුව කියන්න .,[],NOT,[],0
6.28193e+17,කුරුණෑගල මහිංද රාජපක්ශ කාර්යාලය තුලදී පිස්තෝලයක් සමග හමු වූ සැක කටයුතු පුත්ගලයා පිලිඹද තොරතුරු කු/ගල පොලිසියට වාර්ථාවී නැත. එහෙත් එම 1/2,කුරුණෑගල මහිංද රාජපක්ශ කාර්යාලය තුලදී පිස්තෝලයක් සමග හමු වූ සැක කටයුතු පුත්ගලයා පිලිඹද තොරතුරු කු / ගල පොලිසියට වාර්ථාවී නැත . එහෙත් එම 1 / 2,[],NOT,[],0
8.68589e+17,ඈත්ත කියනකොට මලපනිනවා නේද ප්‍රිසෙන්ටර් පකෝ URL,ඈත්ත කියනකොට මලපනිනවා නේද ප්‍රිසෙන්ටර් පකෝ URL,"[0, 0, 0, 0, 0, 1, 0]",OFF,['පකෝ'],1
9.34753e+17,@USER නෑ අපෙ ගමෙ පංසලෙන්...ගෙනත්  දාල ඉතුරු උනු ස්වීට් ලොං ලස් බැල්ලි පැට්ටියෙක්...,@USER නෑ අපෙ ගමෙ පංසලෙන් . . . ගෙනත් දාල ඉතුරු උනු ස්වීට් ලොං ලස් බැල්ලි පැට්ටියෙක් . . .,[],NOT,[],0
1.05175e+18,80.  නොදකින්  IMDb ratings තිබ්බට මට නම් මේක සෙට් නෑ .. අමු ගොබ්බයි  — watching Moana,80. නොදකින් IMDb ratings තිබ්බට මට නම් මේක සෙට් නෑ . . අමු ගොබ්බයි — watching Moana,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",OFF,"['නොදකින්', 'අමු', 'ගොබ්බයි']",1
1.19405e+18,@USER මේවා කාගෙ එකවුන්ට් එකටද දාන්නෙ,@USER මේවා කාගෙ එකවුන්ට් එකටද දාන්නෙ,[],NOT,[],0
8.78205e+17,අපේ බල්ලා ජාත්‍යන්තරයට ගොස් ට්‍රෙන්ඩ් වූ වගයි  #apeballa,අපේ බල්ලා ජාත්‍යන්තරයට ගොස් ට්‍රෙන්ඩ් වූ වගයි # apeballa,[],NOT,[],0
1.12069e+18,@USER බුර්කාව ඉවත් කරන්නට කලින් දේශීය අන්තවාදීන්ට පණ පොවන දේශපාලන නරින්ගේ බැටලු හම ඉවත් කල යුතුයි,@USER බුර්කාව ඉවත් කරන්නට කලින් දේශීය අන්තවාදීන්ට පණ පොවන දේශපාලන නරින්ගේ බැටලු හම ඉවත් කල යුතුයි,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",OFF,"['අන්තවාදීන්ට', 'නරින්ගේ']",1
1.18397e+18,@USER අනේ පලයං පකෝ යන්න ගෝඨාභය ජනාධිපති උනාම උබ කොරයි  fb. ට්විටර් එකෙනුයි අපි දන්නවා ජෙප්පොන් හැටී අමුඩ ගහගෙනත් කොලබ ආවේ රනිල් ආවාම සද්ද නැතුව ඉන්න ලැට් එකේදි සල්ලි ගත්තේ තොපි නැත්නම් මෙරට මෙලහකට දියුණු රටක් කිසිම ආන්ඩුව වකට කරන්න දෙන්නේ නෑ රනිල් කපටි නිසා සල්ලි වලන් නීෂ්ශබ්ද කලා,@USER අනේ පලයං පකෝ යන්න ගෝඨාභය ජනාධිපති උනාම උබ කොරයි fb . ට්විටර් එකෙනුයි අපි දන්නවා ජෙප්පොන් හැටී අමුඩ ගහගෙනත් කොලබ ආවේ රනිල් ආවාම සද්ද නැතුව ඉන්න ලැට් එකේදි සල්ලි ගත්තේ තොපි නැත්නම් මෙරට මෙලහකට දියුණු රටක් කිසිම ආන්ඩුව වකට කරන්න දෙන්නේ නෑ රනිල් කපටි නිසා සල්ලි වලන් නීෂ්ශබ්ද කලා,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['පලයං', 'පකෝ', 'තොපි']",1
6.18127e+17,රෑට නින්දයන්නේ නෑ උදේට ඇහැරෙන්න බෑ.. මොන රෙද්දක්ද යකෝ මේක ?,රෑට නින්දයන්නේ නෑ උදේට ඇහැරෙන්න බෑ . . මොන රෙද්දක්ද යකෝ මේක ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",OFF,['රෙද්දක්ද'],1
