type,unsafe,clean
HATE,මන්ත්‍රීවරු ගොන් රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය වගකීමක් නැති බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නිලධාරීන් වගකීමක් නැති මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,නිලධාරීන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පාර්ලිමේන්තුව අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,නායකයා අවිශ්වාසනීය මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,දේශපාලකයන් අසාධාරණ ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,රජය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පක්ෂය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පක්ෂය අයුතු සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය අවබෝධයක් නැති රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පක්ෂය පිස්සු මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,රජය අවබෝධයක් නැති දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,දේශපාලකයන් ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පාර්ලිමේන්තුව ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,රජය ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය පිස්සු ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් වගකීමක් නැති බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,ඇමතිවරයා ගොන් දූෂණ කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නායකයා කූට රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නායකයා අවබෝධයක් නැති රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,ඇමතිවරයා අයුතු සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,මන්ත්‍රීවරු මෝඩ රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නායකයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,කැබිනට් මණ්ඩලය ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පාර්ලිමේන්තුව දූෂිත බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,මන්ත්‍රීවරු අවිශ්වාසනීය සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,කැබිනට් මණ්ඩලය අයුතු බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,මන්ත්‍රීවරු මෝඩ රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,මන්ත්‍රීවරු ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පක්ෂය අසාධාරණ ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,පක්ෂය අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,මන්ත්‍රීවරු අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ඇමතිවරයා පිස්සු බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,මන්ත්‍රීවරු ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,ඇමතිවරයා මෝඩ දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නායකයා ගොන් බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව දූෂිත රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පාර්ලිමේන්තුව අසාධාරණ දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,නිලධාරීන් දූෂිත ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,පාර්ලිමේන්තුව මෝඩ රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,පක්ෂය දූෂිත රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,කැබිනට් මණ්ඩලය පිස්සු රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,නායකයා අසාධාරණ ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පාර්ලිමේන්තුව අසාධාරණ දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,පාර්ලිමේන්තුව ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,මන්ත්‍රීවරු අසාධාරණ ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නිලධාරීන් ගැන සනාථ කරලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,මන්ත්‍රීවරු ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නිලධාරීන් දූෂිත රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,පක්ෂය දූෂිත මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,පාර්ලිමේන්තුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නිලධාරීන් ගොන් රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,කැබිනට් මණ්ඩලය අසාධාරණ සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් වගකීමක් නැති බොරුව පතුරවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,දේශපාලකයන් මෝඩ රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ඇමතිවරයා මෝඩ රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ආණ්ඩුව ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,පක්ෂය දූෂිත මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,දේශපාලකයන් අවබෝධයක් නැති සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,මන්ත්‍රීවරු පිස්සු රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,රජය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,රජය කූට රට විකුණනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,කැබිනට් මණ්ඩලය කූට ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,නිලධාරීන් ගැන සනාථ කරලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පක්ෂය අවබෝධයක් නැති දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් ගොන් රට කෑවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පක්ෂය වගකීමක් නැති ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් අසාධාරණ ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ඇමතිවරයා ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,දේශපාලකයන් පිස්සු බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,කැබිනට් මණ්ඩලය පිස්සු මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,මන්ත්‍රීවරු ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නායකයා ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නායකයා මෝඩ දූෂණ කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පක්ෂය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,මන්ත්‍රීවරු ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය දූෂිත දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,පාර්ලිමේන්තුව ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,කැබිනට් මණ්ඩලය දූෂිත සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,පක්ෂය අයුතු රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,ඇමතිවරයා ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ආණ්ඩුව ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පක්ෂය අවිශ්වාසනීය රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,ඇමතිවරයා මෝඩ ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,දේශපාලකයන් වගකීමක් නැති බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,කැබිනට් මණ්ඩලය වගකීමක් නැති රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,ඇමතිවරයා ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පාර්ලිමේන්තුව මෝඩ රට කෑවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,ඇමතිවරයා පිස්සු බොරුව පතුරවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,ඇමතිවරයා ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පාර්ලිමේන්තුව අවිශ්වාසනීය රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,පක්ෂය අයුතු මිනිස්සු රවටනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,මන්ත්‍රීවරු ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පාර්ලිමේන්තුව දූෂිත රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,රජය පිස්සු රට විකුණනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පක්ෂය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නායකයා දූෂිත දූෂණ කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,දේශපාලකයන් වගකීමක් නැති සත්‍ය සඟවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,පාර්ලිමේන්තුව අයුතු රට විකුණනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,ඇමතිවරයා කූට රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,දේශපාලකයන් වගකීමක් නැති රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,නායකයා ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,දේශපාලකයන් ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,දේශපාලකයන් වගකීමක් නැති රට කෑවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,පක්ෂය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,මන්ත්‍රීවරු ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,ඇමතිවරයා ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නිලධාරීන් දූෂිත ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,නිලධාරීන් අයුතු දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,පක්ෂය කූට සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,දේශපාලකයන් ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,ආණ්ඩුව අසාධාරණ ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
