type,unsafe,clean
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,දේශපාලකයන් පිස්සු රට විකුණනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,දේශපාලකයන් ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,දේශපාලකයන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,කැබිනට් මණ්ඩලය වගකීමක් නැති රට විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් අයුතු මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පාර්ලිමේන්තුව දූෂිත සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,දේශපාලකයන් අසාධාරණ දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,නිලධාරීන් වගකීමක් නැති මිනිස්සු රවටනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,ආණ්ඩුව වගකීමක් නැති ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,දේශපාලකයන් ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,නිලධාරීන් වගකීමක් නැති රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නිලධාරීන් ගොන් රට විකුණනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,කැබිනට් මණ්ඩලය කූට මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නිලධාරීන් අවබෝධයක් නැති රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,පාර්ලිමේන්තුව පිස්සු රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,දේශපාලකයන් ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නායකයා ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය මෝඩ දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,ආණ්ඩුව ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,මන්ත්‍රීවරු ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,ඇමතිවරයා අවිශ්වාසනීය රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය අවබෝධයක් නැති දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් කූට රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,දේශපාලකයන් දූෂිත ජනතාව විනාස කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,ආණ්ඩුව අසාධාරණ මිනිස්සු රවටනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව අවිශ්වාසනීය රට කෑවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,රජය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පක්ෂය ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,කැබිනට් මණ්ඩලය වගකීමක් නැති සත්‍ය සඟවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,මන්ත්‍රීවරු ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නායකයා පිස්සු මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,කැබිනට් මණ්ඩලය වගකීමක් නැති බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,නායකයා ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නිලධාරීන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පාර්ලිමේන්තුව ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,දේශපාලකයන් ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නිලධාරීන් අවිශ්වාසනීය රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,ඇමතිවරයා පිස්සු ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,මන්ත්‍රීවරු වගකීමක් නැති දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,මන්ත්‍රීවරු වගකීමක් නැති මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,නායකයා ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,දේශපාලකයන් දූෂිත ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පක්ෂය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,මන්ත්‍රීවරු ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නායකයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,ආණ්ඩුව අවබෝධයක් නැති රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ඇමතිවරයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පක්ෂය අවිශ්වාසනීය සත්‍ය සඟවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,පක්ෂය අවබෝධයක් නැති රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ආණ්ඩුව ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නිලධාරීන් ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,මන්ත්‍රීවරු කූට දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,ඇමතිවරයා දූෂිත ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,ඇමතිවරයා ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,රජය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නිලධාරීන් ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,මන්ත්‍රීවරු පිස්සු රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,පක්ෂය අයුතු රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,නායකයා පිස්සු ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,නායකයා ගැන සනාථ කරලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නායකයා ගැන 100% සත්‍යයි,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,ආණ්ඩුව දූෂිත බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,දේශපාලකයන් ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නිලධාරීන් කූට රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ආණ්ඩුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පක්ෂය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,දේශපාලකයන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,දේශපාලකයන් ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පක්ෂය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,දේශපාලකයන් දූෂිත රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,නායකයා අවබෝධයක් නැති දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,මන්ත්‍රීවරු අයුතු මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය අවබෝධයක් නැති රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ආණ්ඩුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,මන්ත්‍රීවරු ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,ආණ්ඩුව ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,රජය දූෂිත බොරුව පතුරවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,ආණ්ඩුව මෝඩ දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,කැබිනට් මණ්ඩලය මෝඩ රට විකුණනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,දේශපාලකයන් ගැන සනාථ කරලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නිලධාරීන් කූට රට විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පක්ෂය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,දේශපාලකයන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,දේශපාලකයන් ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,දේශපාලකයන් අවබෝධයක් නැති රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නිලධාරීන් කූට මිනිස්සු රවටනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,රජය වගකීමක් නැති දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,ඇමතිවරයා ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,මන්ත්‍රීවරු ගැන 100% සත්‍යයි,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,මන්ත්‍රීවරු ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,නායකයා පිස්සු දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,මන්ත්‍රීවරු ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නිලධාරීන් කූට බොරුව පතුරවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් අසාධාරණ රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,ආණ්ඩුව කූට මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,දේශපාලකයන් ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,ඇමතිවරයා ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නිලධාරීන් ගොන් රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය පිස්සු බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පාර්ලිමේන්තුව මෝඩ මිනිස්සු රවටනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ආණ්ඩුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,මන්ත්‍රීවරු අයුතු සත්‍ය සඟවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,පාර්ලිමේන්තුව අවිශ්වාසනීය රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ඇමතිවරයා අයුතු සත්‍ය සඟවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,පාර්ලිමේන්තුව අසාධාරණ සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පාර්ලිමේන්තුව ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නිලධාරීන් දූෂිත ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,පාර්ලිමේන්තුව ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,නායකයා අසාධාරණ දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,මන්ත්‍රීවරු ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,නායකයා දූෂිත රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,ඇමතිවරයා අවබෝධයක් නැති මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
